STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
CREVISTON DRIVE NW	E/O 134 AV KPN	575	750		625	
CREVISTON DRIVE NW	E/O 118 AV NW	1425	1800		1675	
CREVISTON DRIVE NW	W/O 118 AV NW	1375	1400		1250	
CROMWELL DRIVE NW	E/O 62 AV NW	275	400	425	325	
CRYSTAL MT. BLVD E	1.5 MI NE OF US 410	350	125		700	
CRYSTAL RVR RANCH	RDS/O SR 410	325	225		425	
DANFORTH STREET NW	W/O SR 302	2300	2500		1950	
DASH PT BLVD NE	W/O 21 AV NE	350	300		300	
DAVID DAY DRIVE NW	NE/O 86 AV NW	1550	1600		1600	
DEAN KREGER ROAD E	W/O SR 7	475	475		500	
DELANO ROAD KPS	W/O 158 AV KPS	550	875		700	
DELANO ROAD KPS	E/O 158 AV KPS	250	275		200	
DRIFTWOOD DRIVE E	E/O SUMNER TAPPS HWY	2575	2550		2575	
DRUMMOND DRIVE NW	E/O CR VALLEY DR	3175	3325		3200	
EAST BAY DRIVE NW	SE/O WOLLOCHET DR NW		6125		6025	
EATONVILLE CUTOFF R	SE/O 352 ST E	3775		3525		3350
EATONVILLE CUTOFF R	SE/O JENSEN RD E	3400		3450		3375
EATONVILLE CUTOFF R	NW/O SR 161	3800		3700		4050
EATONVILLE HWY E	W/O EATONVILLE C/L	725		675		750
ECKENSTAM-JOHNSON	N/O SANDBERG RD AI		500		425	
ECKENSTAM-JOHNSON	S/O LK JOSEPHINE BV		675		525	
ECKENSTAM-JOHNSON	N/O LK JOSEPHINE BV		1375		1350	
EDWARDS ROAD E	E/O 190 AV E		1450		1400	
EDWARDS ROAD E	N/O 210 AV E		650		650	
EUSTIS-HUNT ROAD E	S/O 204 ST E	5125		5000		5625
EUSTIS-HUNT ROAD E	E/O SR-161		2900		2725	
FAIRFAX FOREST RES R	E/O SR 165		125		225	
FALLING WATER BV E	S/O RHODES LAKE RD E		1125		1225	
FILLMORE DRIVE NW	E/O WOLLOCHET DR NW	11025		9875	10025	9500
FORD DRIVE NW	S/O WARREN DR NW		325		350	
